GeneID	SRR12438069	SRR12438070	SRR12438071	SRR12438072	SRR12438073	SRR12438074	SRR12438075	SRR12438076	SRR12438077	SRR12438078	SRR12438079	SRR12438080
ENSG00000162444	6	12	10	12	12	17	3	20	9	6	44	29
ENSG00000130939	608	473	1969	1786	2072	2335	759	1434	1472	344	4546	3556
ENSG00000224340	0	0	0	1	0	0	1	0	0	0	0	3
ENSG00000233623	0	0	0	0	1	5	0	1	0	0	0	0
ENSG00000201746	0	0	0	0	0	2	0	0	4	0	1	6
ENSG00000054523	484	354	3331	3123	2263	3706	1337	1985	2287	536	7349	5173
ENSG00000264881	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199562	0	0	0	1	0	1	0	0	1	0	0	2
ENSG00000264501	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284735	3	6	15	12	28	25	9	8	14	3	10	19
ENSG00000284642	3	5	21	29	26	24	9	17	21	4	14	92
ENSG00000142657	447	564	2227	2457	2134	2757	993	1786	1744	354	5647	3546
ENSG00000271989	0	0	1	1	0	0	0	0	0	0	0	0
ENSG00000251503	0	0	1	0	4	0	2	1	0	0	3	2
ENSG00000175279	5	1	18	14	47	23	15	11	19	2	49	41
ENSG00000241563	2	3	10	13	12	8	2	2	8	0	8	31
ENSG00000160049	268	208	1078	950	1201	1127	440	598	836	180	3032	2389
ENSG00000203469	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142655	116	106	389	395	406	394	158	297	377	75	1267	1349
ENSG00000243267	0	0	2	0	1	0	0	1	3	0	1	0
ENSG00000130940	135	137	560	589	528	566	212	295	689	88	1279	1332
ENSG00000272078	2	7	21	33	29	30	22	16	46	4	41	75
ENSG00000225158	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175262	189	172	570	336	1363	641	805	634	428	5	1117	23
ENSG00000215785	0	0	1	2	0	4	0	2	2	0	0	1
ENSG00000120948	305	284	1792	1592	1685	2910	622	910	1241	221	3986	3635
ENSG00000277726	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009724	11	11	119	120	105	109	64	55	96	4	121	128
ENSG00000271895	7	3	32	31	49	32	16	17	17	2	39	49
ENSG00000116649	311	329	556	677	669	751	203	484	395	109	2102	823
ENSG00000171824	292	249	1024	1059	734	1108	501	764	947	208	2317	2319
ENSG00000226849	1	1	2	5	4	2	2	3	7	0	8	19
ENSG00000230337	3	0	2	2	1	2	3	1	5	0	5	2
ENSG00000198793	528	415	2463	2624	1574	2191	935	1301	1884	464	4406	2999
ENSG00000225602	0	0	0	0	1	0	0	0	0	0	0	3
ENSG00000253086	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171819	0	2	3	2	7	6	1	1	6	0	3	1
ENSG00000207451	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238173	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120942	125	122	450	450	356	458	214	282	359	70	1626	1713
ENSG00000238199	0	1	0	0	1	0	0	0	1	0	2	2
ENSG00000284646	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000224338	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204624	182	184	840	955	2456	2224	590	1079	210	35	1949	276
ENSG00000235643	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000284708	1	5	9	16	7	7	5	2	2	0	8	13
ENSG00000116661	342	485	826	861	911	913	255	467	652	165	2672	1294
ENSG00000132879	213	218	892	998	1238	915	497	657	882	74	1755	1444
ENSG00000116663	55	73	236	253	232	171	70	134	228	20	1010	501
ENSG00000116670	134	155	467	517	467	543	165	362	469	75	1515	684
ENSG00000162490	5	0	22	26	7	24	15	36	16	0	20	9
ENSG00000177674	207	213	856	848	485	467	252	335	583	63	1889	1675
ENSG00000215910	0	0	2	3	0	4	1	0	2	0	3	0
ENSG00000177553	0	0	0	0	1	2	0	0	0	0	1	0
ENSG00000177000	252	258	941	1013	966	995	573	828	817	139	3408	1126
ENSG00000011021	183	195	966	1167	888	1183	665	957	826	116	1557	1845
ENSG00000242349	0	2	5	6	14	14	4	10	7	0	5	11
ENSG00000276470	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278852	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175206	0	3	6	6	11	17	15	6	8	0	2	11
