protein1 protein2 combined_score
9606.ENSP00000011653 9606.ENSP00000231454 930
9606.ENSP00000011653 9606.ENSP00000380855 945
9606.ENSP00000011653 9606.ENSP00000231487 950
9606.ENSP00000011653 9606.ENSP00000265162 994
9606.ENSP00000011653 9606.ENSP00000364114 945
9606.ENSP00000011653 9606.ENSP00000358490 996
9606.ENSP00000011653 9606.ENSP00000496848 938
9606.ENSP00000011653 9606.ENSP00000398568 940
9606.ENSP00000011653 9606.ENSP00000393566 977
9606.ENSP00000011653 9606.ENSP00000313419 936
9606.ENSP00000011653 9606.ENSP00000292303 999
9606.ENSP00000011653 9606.ENSP00000412237 976
9606.ENSP00000011653 9606.ENSP00000370989 938
9606.ENSP00000011653 9606.ENSP00000356946 964
9606.ENSP00000011653 9606.ENSP00000229135 991
9606.ENSP00000011653 9606.ENSP00000246657 947
9606.ENSP00000011653 9606.ENSP00000264246 958
9606.ENSP00000011653 9606.ENSP00000386559 999
9606.ENSP00000011653 9606.ENSP00000419945 996
9606.ENSP00000011653 9606.ENSP00000265070 905
9606.ENSP00000011653 9606.ENSP00000346671 980
9606.ENSP00000011653 9606.ENSP00000354782 989
9606.ENSP00000011653 9606.ENSP00000226279 932
9606.ENSP00000011653 9606.ENSP00000431445 985
9606.ENSP00000011653 9606.ENSP00000361359 924
9606.ENSP00000011653 9606.ENSP00000265094 903
9606.ENSP00000011653 9606.ENSP00000216341 936
9606.ENSP00000011653 9606.ENSP00000266041 999
9606.ENSP00000011653 9606.ENSP00000378786 997
9606.ENSP00000011653 9606.ENSP00000442424 913
9606.ENSP00000011653 9606.ENSP00000369293 936
9606.ENSP00000011653 9606.ENSP00000324890 971
9606.ENSP00000011653 9606.ENSP00000306157 960
9606.ENSP00000011653 9606.ENSP00000501245 911
9606.ENSP00000011653 9606.ENSP00000359206 947
9606.ENSP00000011653 9606.ENSP00000227155 968
9606.ENSP00000011653 9606.ENSP00000433642 959
9606.ENSP00000011653 9606.ENSP00000363089 902
9606.ENSP00000011653 9606.ENSP00000358165 902
9606.ENSP00000011653 9606.ENSP00000203629 914
9606.ENSP00000011653 9606.ENSP00000496416 921
9606.ENSP00000011653 9606.ENSP00000411355 981
9606.ENSP00000011653 9606.ENSP00000319476 929
9606.ENSP00000011653 9606.ENSP00000454623 949
9606.ENSP00000011653 9606.ENSP00000364076 961
9606.ENSP00000011653 9606.ENSP00000398632 950
9606.ENSP00000011653 9606.ENSP00000359663 983
9606.ENSP00000011653 9606.ENSP00000386884 999
9606.ENSP00000011653 9606.ENSP00000398698 968
9606.ENSP00000011653 9606.ENSP00000263341 958
9606.ENSP00000011653 9606.ENSP00000312027 901
9606.ENSP00000011653 9606.ENSP00000335062 960
9606.ENSP00000011653 9606.ENSP00000354566 991
9606.ENSP00000011653 9606.ENSP00000263851 909
9606.ENSP00000011653 9606.ENSP00000332049 958
